Subject	Block	Trial	Attribute	Food	Rating	RT
64.0000	1.0000	1.0000	Liking	AlmondMilk_2_0.25glass.jpg	5.0000	8.9555
64.0000	1.0000	2.0000	Liking	Broccoli_4_1.5c.jpg	4.0000	3.3509
64.0000	1.0000	3.0000	Liking	Skittles_6_0.75pack.jpg	1.0000	2.9628
64.0000	1.0000	4.0000	Liking	IceCreamChocolate_1_1tsp.jpg	3.0000	8.2867
64.0000	1.0000	5.0000	Liking	EnglishCucumber_2_2pc.jpg	4.0000	4.5811
64.0000	1.0000	6.0000	Liking	Pringles_2_3Chips.jpg	2.0000	2.7244
64.0000	1.0000	7.0000	Liking	Smarties_5_3boxes.jpg	1.0000	2.1137
64.0000	1.0000	8.0000	Liking	GreenBeans_4_.5pck.jpg	4.0000	3.7564
64.0000	1.0000	9.0000	Liking	Pringles_5_40Chips.jpg	1.0000	1.6063
64.0000	1.0000	10.0000	Liking	SlimStyles_2_2Tbsp.jpg	2.0000	19.5362
64.0000	1.0000	11.0000	Liking	OatBran_2_2T.jpg	4.0000	24.4925
64.0000	1.0000	12.0000	Liking	FrozenPeaches_5_1.5Cups.jpg	6.0000	4.4506
64.0000	1.0000	13.0000	Liking	RomaineLettuce_2_3leaves.jpg	3.0000	3.6981
64.0000	1.0000	14.0000	Liking	Raspberries_4_.5c.jpg	4.0000	3.7583
64.0000	1.0000	15.0000	Liking	Twizzlers_4_8.jpg	4.0000	4.1865
64.0000	1.0000	16.0000	Liking	IceCreamVanilla_1_2tsp.jpg	4.0000	2.0291
64.0000	1.0000	17.0000	Liking	MnMPeanuts_4_45.jpg	2.0000	4.8143
64.0000	1.0000	18.0000	Liking	Spinach_4_.5box.jpg	4.0000	2.8380
64.0000	1.0000	19.0000	Liking	Aero_1_1pc.jpg	4.0000	4.4067
64.0000	1.0000	20.0000	Liking	Avocado_5_1avacado.jpg	2.0000	11.7361
64.0000	1.0000	21.0000	Liking	Cheerios_5_2c.jpg	4.0000	3.8173
64.0000	1.0000	22.0000	Liking	FrozenPeaches_2_3Slices.jpg	6.0000	7.2413
64.0000	1.0000	23.0000	Liking	Bananas_2_0.5.jpg	6.0000	2.3539
64.0000	1.0000	24.0000	Liking	VanillaGreekYogurt_4_1cup.jpg	6.0000	8.1096
64.0000	1.0000	25.0000	Liking	Cheetos_6_2c.jpg	4.0000	26.7315
64.0000	1.0000	26.0000	Liking	SlicedTurkey_5_4slices.jpg	5.0000	3.1600
64.0000	1.0000	27.0000	Liking	RaisinBran_7_2cup.jpg	2.0000	21.3337
64.0000	1.0000	28.0000	Liking	Reese_1_1Cup.jpg	4.0000	2.5545
64.0000	1.0000	29.0000	Liking	FrozenPeas_6_0.5bag.jpg	4.0000	4.1413
64.0000	1.0000	30.0000	Liking	YorkPeppermintPatties_4_12.jpg	1.0000	1.9199
64.0000	1.0000	31.0000	Liking	FrozenCorn_2_0.5cup.jpg	4.0000	2.4612
64.0000	1.0000	32.0000	Liking	Shreddies_5_2c.jpg	4.0000	1.8811
64.0000	1.0000	33.0000	Liking	Caramilk_5_2bars.jpg	1.0000	4.0850
64.0000	1.0000	34.0000	Liking	TofuDessert_4_1pck.jpg	2.0000	4.3633
64.0000	1.0000	35.0000	Liking	OikosYogurt_6_1c.jpg	5.0000	2.3670
64.0000	1.0000	36.0000	Liking	PCChipCookie_2_0.5cookie.jpg	3.0000	5.9609
64.0000	1.0000	37.0000	Liking	Strawberries_2_0.5c.jpg	5.0000	3.0502
64.0000	1.0000	38.0000	Liking	RitzCrackers_2_3Crackers.jpg	3.0000	5.5621
64.0000	1.0000	39.0000	Liking	SpeltCakes_5_4.jpg	3.0000	10.3580
64.0000	1.0000	40.0000	Liking	RiceKrispiesCereal_3_2tbsp.jpg	4.0000	11.1757
64.0000	1.0000	41.0000	Liking	MnMPeanuts_2_4.jpg	1.0000	4.6989
