text,congruent,corrAns,letterColor,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
blue,0,left,red,0,0,0,5,right,0,0.731699943542,2016_Oct_23_2205,60.1203753739,stroop,01,02,
red,1,left,red,0,1,1,0,right,0,0.302711963654,2016_Oct_23_2205,60.1203753739,stroop,01,02,
red,0,down,green,0,2,2,1,right,0,0.235558986664,2016_Oct_23_2205,60.1203753739,stroop,01,02,
green,0,right,blue,0,3,3,3,right,1,0.0512108802795,2016_Oct_23_2205,60.1203753739,stroop,01,02,
green,1,down,green,0,4,4,2,right,0,0.486081838608,2016_Oct_23_2205,60.1203753739,stroop,01,02,
blue,1,right,blue,0,5,5,4,right,1,0.300060033798,2016_Oct_23_2205,60.1203753739,stroop,01,02,
green,1,down,green,1,0,6,2,right,0,0.234369039536,2016_Oct_23_2205,60.1203753739,stroop,01,02,
red,1,left,red,1,1,7,0,right,0,0.201374053955,2016_Oct_23_2205,60.1203753739,stroop,01,02,
blue,1,right,blue,1,2,8,4,right,1,0.18325304985,2016_Oct_23_2205,60.1203753739,stroop,01,02,
blue,0,left,red,1,3,9,5,right,0,0.152101039886,2016_Oct_23_2205,60.1203753739,stroop,01,02,
green,0,right,blue,1,4,10,3,right,1,0.118209123611,2016_Oct_23_2205,60.1203753739,stroop,01,02,
