Subject	Block	Trial	Attribute	Food	Rating	RT
27.0000	1.0000	1.0000	Liking	BBQCrisps_2_5.jpg	4.0000	5.6284
27.0000	1.0000	2.0000	Liking	RomaineLettuce_4_1head.jpg	5.0000	5.6455
27.0000	1.0000	3.0000	Liking	FrootLoops_2_2T.jpg	2.0000	1.8008
27.0000	1.0000	4.0000	Liking	PopTartStrawberry_5_3tarts.jpg	3.0000	1.5629
27.0000	1.0000	5.0000	Liking	Reese_1_1Cup.jpg	1.0000	1.4790
27.0000	1.0000	6.0000	Liking	PureFit_2_0.5Bars.jpg	2.0000	4.5581
27.0000	1.0000	7.0000	Liking	MnMPeanuts_4_45.jpg	1.0000	1.1702
27.0000	1.0000	8.0000	Liking	WaterChestnuts_3_8pc.jpg	4.0000	7.5172
27.0000	1.0000	9.0000	Liking	RomaineLettuce_2_3leaves.jpg	5.0000	2.7627
27.0000	1.0000	10.0000	Liking	Skittles_3_14pieces.jpg	3.0000	1.7667
27.0000	1.0000	11.0000	Liking	MnMPlain_3_1tbsp.jpg	5.0000	2.5139
27.0000	1.0000	12.0000	Liking	DriedHerring_3_4fish.jpg	3.0000	1.9679
27.0000	1.0000	13.0000	Liking	AppleChips_2_3chips.jpg	4.0000	3.0160
27.0000	1.0000	14.0000	Liking	AppleChips_5_1c..jpg	4.0000	1.4618
27.0000	1.0000	15.0000	Liking	Cheerios_5_2c.jpg	6.0000	2.9624
27.0000	1.0000	16.0000	Liking	MangoChunks_5_1cup.jpg	6.0000	1.6591
27.0000	1.0000	17.0000	Liking	AllBranCereal_2_1tbsp.jpg	6.0000	0.6610
27.0000	1.0000	18.0000	Liking	Doritos_2_3chips.jpg	5.0000	1.0178
27.0000	1.0000	19.0000	Liking	SpeltCakes_5_4.jpg	5.0000	2.2831
27.0000	1.0000	20.0000	Liking	Mentos_2_3pc.jpg	4.0000	2.2497
27.0000	1.0000	21.0000	Liking	Triscuit_5_30crackers.jpg	5.0000	1.0009
27.0000	1.0000	22.0000	Liking	SkimMilk_1_1Tbsp.jpg	5.0000	2.3710
27.0000	1.0000	23.0000	Liking	FrozenBroccoli_6_0.5bag.jpg	5.0000	1.0577
